final_value,total_return,mean_daily_return,volatility,sharpe_ratio,max_drawdown,var_95,cvar_95
18256.299794492494,0.8256299794492494,0.00047819636999254844,0.000853323074574217,0.5603930424497778,-0.003086055251507142,-0.0008784454633008162,-0.0012237486784721285
19007.18099373686,0.9007180993736861,0.0005102174342233389,0.0008717351473711058,0.5852894393819716,-0.0039678541313979835,-0.0009202002431920824,-0.0012762208979810788
17518.79926537172,0.7518799265371718,0.0004454934268399955,0.000897732463105117,0.49624291815716604,-0.004507877631908437,-0.0009923696306015108,-0.0014410595151900729
17838.573204769673,0.7838573204769672,0.0004598319829660601,0.0008705815323750517,0.5281893918570082,-0.005061845678799294,-0.0009870830602829734,-0.0013796584399279736
18795.949983202332,0.8795949983202331,0.0005013439403780057,0.0008721730966668249,0.5748215403706357,-0.003811857337656199,-0.000901850274992411,-0.0012776081296985104
19008.648068865394,0.9008648068865395,0.0005102894667052999,0.0008839496346522655,0.5772833530020134,-0.005225226557862891,-0.001012374548465206,-0.0013900483736831667
19544.89249410813,0.954489249410813,0.0005323486278312123,0.0008473761280666299,0.6282317230515384,-0.004157626586083847,-0.0008052911861420242,-0.0012155206848846987
18346.916690973903,0.8346916690973902,0.00048213644307877016,0.0008632942414478033,0.5584844240612009,-0.0033691568253867515,-0.0009733964102062541,-0.0012914077183389578
18999.337867781218,0.8999337867781219,0.0005098863017155415,0.0008678095416460478,0.5875554698244619,-0.0039680104232637054,-0.0008717194547326937,-0.0012516605415103124
17673.85478440259,0.767385478440259,0.0004524758409427466,0.0008816719019018174,0.5132020070578742,-0.006316231698947543,-0.0010037382599726984,-0.0013846391910987035
17889.540781504802,0.7889540781504802,0.0004620873180786258,0.0008589656957361342,0.5379577631291088,-0.0038050472009484738,-0.0010334296403782923,-0.0013096076231909983
18799.55366778928,0.8799553667789282,0.0005014997706923279,0.00087626451771095,0.5723154405142895,-0.004393618529511639,-0.0010256407064502474,-0.0013668195111678804
18408.371046127544,0.8408371046127545,0.00048477969996174976,0.000849318922870568,0.5707863440091907,-0.005849657976380378,-0.0009061778644072947,-0.0012669350355310849
18945.46637275289,0.894546637275289,0.0005076158100353229,0.0008494302074701661,0.5975955950372673,-0.004378557129160988,-0.0008955931313459324,-0.0012010986577990236
18205.866039692497,0.8205866039692498,0.0004760516088303462,0.0009120162820742331,0.5219770370216861,-0.005014179076413881,-0.0009843169577943133,-0.0014410720130545178
18229.22898708633,0.8229228987086332,0.00047704042610618877,0.0008791037134357248,0.5426440186191586,-0.0034123884594830602,-0.0009618546183087995,-0.0012889416974178596
19036.410129140073,0.9036410129140073,0.000511460316223972,0.0008974847438728667,0.5698818422569628,-0.0050674241518359805,-0.0009298930602746966,-0.0012884884277793213
19135.48141045247,0.9135481410452471,0.0005155851070335259,0.0009007544043197198,0.572392482703057,-0.004875631010159578,-0.0009155315861783077,-0.0013283897105180748
19246.904800177275,0.9246904800177276,0.000520193945141895,0.00089912499441045,0.578555696393929,-0.006016721869565464,-0.000937551210125468,-0.0013301765979296107
18040.410151984564,0.8040410151984565,0.0004687937376051066,0.0009024034793680142,0.5194945458144345,-0.004846040326895121,-0.0010141705270663049,-0.0014090586982646494
18690.00039391144,0.8690000393911439,0.0004968491339684199,0.0008649556539817234,0.5744214448903687,-0.0033700999817019507,-0.0009677544184491314,-0.001317954731139212
18817.524689851034,0.8817524689851035,0.0005022670578124497,0.0008860499158633212,0.5668608417359676,-0.004854858962876032,-0.00099057833524359,-0.0013301736267805786
