final_value,total_return,mean_daily_return,volatility,sharpe_ratio,max_drawdown,var_95,cvar_95,simulation_id
3516.39184522901,-0.648360815477099,-0.0007231153942156009,0.014551984821287925,-0.049691873522887176,-0.7501345032768287,-0.023363427605130903,-0.032505879773068166,0
16394.824220766284,0.6394824220766284,0.0005327273783483564,0.016749759467885355,0.03180507613791455,-0.33197625852460816,-0.026604988621695764,-0.036459565862011614,1
7987.063096143083,-0.20129369038569167,-6.630952771210785e-05,0.014983746954253075,-0.004425430266008539,-0.476408038268244,-0.023724190698414388,-0.031323394911688916,2
5003.451717865723,-0.49965482821342766,-0.00044083186380863425,0.014742129996533524,-0.029902860775342894,-0.6931965706240387,-0.024113339290500333,-0.031498634085002274,3
25776.012986549467,1.5776012986549466,0.0008733634777717715,0.015614252999382364,0.05593373389126876,-0.29227682261351134,-0.02322485709004864,-0.03240316751304215,4
8820.5757517152,-0.11794242482848005,2.0558804843348247e-05,0.01550352343261883,0.001326073056882411,-0.45337579339760375,-0.024813790179383267,-0.03278133458235971,5
11992.333455064538,0.19923334550645366,0.00027679295171620366,0.0162564609358685,0.017026642582631205,-0.5735532893604484,-0.02631950509355681,-0.03782141669227987,6
7651.396352826868,-0.2348603647173132,-8.793393346201802e-05,0.01579984735122704,-0.005565492561460708,-0.4292088392677579,-0.025338675174552946,-0.03238832741302535,7
13654.238558957992,0.3654238558957992,0.00037191824536964685,0.01579175788094421,0.02355141497345879,-0.6305557989765707,-0.02563228874420529,-0.03250931946129531,8
12140.778208992613,0.2140778208992613,0.00025299991247565044,0.01407507592291304,0.01797502990845576,-0.5009775983750088,-0.023480250261588488,-0.029881634605488754,9
11169.602430652623,0.11696024306526231,0.00020012549195306333,0.01499021679243309,0.013350406694521188,-0.35505844200518105,-0.024669658342956886,-0.03195764827727416,10
8741.301083307406,-0.12586989166925944,2.337559331333373e-06,0.014772471232474311,0.00015823752700028725,-0.36955258741519836,-0.024679438476648875,-0.031272459326620865,11
7293.096229571665,-0.2706903770428335,-0.000132290864917671,0.015372582097727449,-0.008605637180279822,-0.46975554536844727,-0.024348610631922556,-0.03288885573264868,12
32151.234620387728,2.2151234620387728,0.0010317435885658236,0.01446272445514095,0.07133812060322188,-0.21075209842827017,-0.022845277693425686,-0.029326899189861904,13
6400.26701293834,-0.359973298706166,-0.00025128761411004504,0.014331289875399007,-0.017534193679801583,-0.515196036963156,-0.02439077964983427,-0.03206101728384382,14
7584.995904199356,-0.24150040958006436,-0.0001080866863915856,0.014926572710990455,-0.00724122595054112,-0.5530229265225557,-0.024039774079783756,-0.030306825924924854,15
16461.364650902833,0.6461364650902832,0.0005245965202069604,0.016068293638549908,0.032647929440596773,-0.34820882971849804,-0.024750338064648297,-0.03376846883161705,16
7309.500949552883,-0.2690499050447117,-0.00013301750990064745,0.015226063026069974,-0.008736172233050557,-0.5479609342726821,-0.023875016342182344,-0.030934593492831952,17
43539.56678237958,3.3539566782379584,0.0012810345139657867,0.015030235169080558,0.08523050311800949,-0.18622465063382757,-0.02396807566994823,-0.030069186061314517,18
7231.747672286623,-0.27682523277133764,-0.00014515039915054208,0.014981419340492132,-0.009688694701266168,-0.41717415440397326,-0.02366823700748063,-0.032086454649456565,19
22970.832140412498,1.2970832140412498,0.0007744813342442104,0.015122390835368775,0.05121421192946589,-0.2977811355007934,-0.02388225679625277,-0.03133921850450301,20
14479.228786724138,0.44792287867241365,0.0004399674085503144,0.01710113292103619,0.0257273835604406,-0.38215943987854595,-0.02843940285064565,-0.036817392471577386,21
15863.453536721272,0.5863453536721273,0.0004724594301676073,0.014590400170190906,0.03238152630622967,-0.504225800633498,-0.02188131268916256,-0.02839830869992302,22
3232.8378528604976,-0.6767162147139503,-0.0008144283983479532,0.012755044543704967,-0.06385147375786727,-0.7057962333260484,-0.02203312753982957,-0.027788834056130793,23
6281.881497601593,-0.37181185023984076,-0.0002642898779367951,0.014471968018014422,-0.018262193212532873,-0.4768598951116194,-0.02359466273943694,-0.030731489790263654,24
18574.46219859367,0.8574462198593669,0.0006165580291325688,0.015814191221027316,0.03898764196135424,-0.3058250858018962,-0.02467297060213466,-0.03314322745482597,25
12970.301616983204,0.2970301616983204,0.0003135895757403759,0.01465433520487951,0.021399099257402607,-0.4089016031472653,-0.02303033132315049,-0.03024992542045561,26
14086.629744047807,0.4086629744047807,0.00038660478825436117,0.015151082303805404,0.0255166448145817,-0.39270665437536334,-0.024068143652962077,-0.03137430161739087,27
16931.28277967783,0.693128277967783,0.0005309286509450234,0.015038084786442836,0.03530560273826272,-0.45063872367083707,-0.023862019472426436,-0.031202443820811183,28
61099.57965873087,5.109957965873087,0.0015700849361386568,0.01630572990948973,0.09629037983732631,-0.288075415502828,-0.025039220436811897,-0.03274883040915,29
10089.959707552995,0.008995970755299565,0.00014177517970006816,0.016407563864527394,0.008640842723915711,-0.570733232372364,-0.027489726679996596,-0.0363920005558169,30
13229.014311166295,0.3229014311166294,0.00033923920282812736,0.015302943565710757,0.022168231827727317,-0.4830793989571611,-0.024560049905821075,-0.032799207436792537,31
11533.01903120159,0.153301903120159,0.0002190656726379279,0.014529303809773304,0.01507750639661208,-0.39105079090754175,-0.02483150089053684,-0.03255653270488916,32
17355.756379042632,0.7355756379042633,0.0005512480319525778,0.015087862638174259,0.0365358594201582,-0.2999553979904563,-0.022639442743937428,-0.030777244449746187,33
17429.32708583304,0.742932708583304,0.0005439838469466508,0.014365016633468789,0.03786865389994519,-0.34714957066221463,-0.02137194080029978,-0.02863286382024117,34
